

============================== EXP at 2026-04-30 12:05:04 ==============================
dev | avg_loss: 2.2091064453125 | {'exact_match': 0.0, 'rougeL': 14.9784} | threshold: 0.0
train | epoch   1 | Iter:   1618/  7140 | global iter:    810/  3570 | loss: -0.0363 | ds_loss: -0.0916 | lr: 8.7868e-05 | scale:  2048.0000 | micro time: 0.718 | step time: 1.250
train | epoch   1 | Iter:   1638/  7140 | global iter:    820/  3570 | loss: 0.0295 | ds_loss: -0.0240 | lr: 8.7579e-05 | scale:  2048.0000 | micro time: 0.702 | step time: 1.239
train | epoch   1 | Iter:   1658/  7140 | global iter:    830/  3570 | loss: 0.0350 | ds_loss: -0.0201 | lr: 8.7288e-05 | scale:  2048.0000 | micro time: 0.715 | step time: 1.245
train | epoch   1 | Iter:   1678/  7140 | global iter:    840/  3570 | loss: -0.0043 | ds_loss: -0.0599 | lr: 8.6993e-05 | scale:  2048.0000 | micro time: 0.729 | step time: 1.249
train | epoch   1 | Iter:   1698/  7140 | global iter:    850/  3570 | loss: 0.0322 | ds_loss: -0.0230 | lr: 8.6696e-05 | scale:  2048.0000 | micro time: 0.707 | step time: 1.263
train | epoch   1 | Iter:   1718/  7140 | global iter:    860/  3570 | loss: 0.0160 | ds_loss: -0.0403 | lr: 8.6396e-05 | scale:  2048.0000 | micro time: 0.700 | step time: 1.260
train | epoch   1 | Iter:   1738/  7140 | global iter:    870/  3570 | loss: 0.0112 | ds_loss: -0.0453 | lr: 8.6093e-05 | scale:  2048.0000 | micro time: 0.740 | step time: 1.269
train | epoch   1 | Iter:   1758/  7140 | global iter:    880/  3570 | loss: 0.0097 | ds_loss: -0.0422 | lr: 8.5787e-05 | scale:  2048.0000 | micro time: 0.700 | step time: 1.253
train | epoch   1 | Iter:   1778/  7140 | global iter:    890/  3570 | loss: 0.0008 | ds_loss: -0.0539 | lr: 8.5479e-05 | scale:  2048.0000 | micro time: 0.720 | step time: 1.245
train | epoch   1 | Iter:   1798/  7140 | global iter:    900/  3570 | loss: -0.0285 | ds_loss: -0.0857 | lr: 8.5167e-05 | scale:  2048.0000 | micro time: 0.709 | step time: 1.235
train | epoch   1 | Iter:   1818/  7140 | global iter:    910/  3570 | loss: 0.0064 | ds_loss: -0.0486 | lr: 8.4853e-05 | scale:  2048.0000 | micro time: 0.716 | step time: 1.254
train | epoch   1 | Iter:   1838/  7140 | global iter:    920/  3570 | loss: 0.0255 | ds_loss: -0.0306 | lr: 8.4537e-05 | scale:  2048.0000 | micro time: 0.688 | step time: 1.261
train | epoch   1 | Iter:   1858/  7140 | global iter:    930/  3570 | loss: 0.0051 | ds_loss: -0.0488 | lr: 8.4217e-05 | scale:  2048.0000 | micro time: 0.732 | step time: 1.258
train | epoch   1 | Iter:   1878/  7140 | global iter:    940/  3570 | loss: 0.0480 | ds_loss: -0.0080 | lr: 8.3896e-05 | scale:  2048.0000 | micro time: 0.705 | step time: 1.263
train | epoch   1 | Iter:   1898/  7140 | global iter:    950/  3570 | loss: 0.0186 | ds_loss: -0.0357 | lr: 8.3571e-05 | scale:  2048.0000 | micro time: 0.711 | step time: 1.243
train | epoch   1 | Iter:   1918/  7140 | global iter:    960/  3570 | loss: 0.0203 | ds_loss: -0.0351 | lr: 8.3244e-05 | scale:  2048.0000 | micro time: 0.703 | step time: 1.252
train | epoch   1 | Iter:   1938/  7140 | global iter:    970/  3570 | loss: 0.0281 | ds_loss: -0.0269 | lr: 8.2914e-05 | scale:  2048.0000 | micro time: 0.715 | step time: 1.255
train | epoch   1 | Iter:   1958/  7140 | global iter:    980/  3570 | loss: -0.0068 | ds_loss: -0.0621 | lr: 8.2582e-05 | scale:  2048.0000 | micro time: 0.698 | step time: 1.248
train | epoch   1 | Iter:   1978/  7140 | global iter:    990/  3570 | loss: -0.0194 | ds_loss: -0.0750 | lr: 8.2247e-05 | scale:  2048.0000 | micro time: 0.719 | step time: 1.252
train | epoch   1 | Iter:   1998/  7140 | global iter:   1000/  3570 | loss: -0.0055 | ds_loss: -0.0632 | lr: 8.1910e-05 | scale:  2048.0000 | micro time: 0.696 | step time: 1.274
train | epoch   1 | Iter:   2018/  7140 | global iter:   1010/  3570 | loss: 0.0054 | ds_loss: -0.0503 | lr: 8.1570e-05 | scale:  2048.0000 | micro time: 0.724 | step time: 1.265
train | epoch   1 | Iter:   2038/  7140 | global iter:   1020/  3570 | loss: 0.0111 | ds_loss: -0.0445 | lr: 8.1228e-05 | scale:  2048.0000 | micro time: 0.719 | step time: 1.266
train | epoch   1 | Iter:   2058/  7140 | global iter:   1030/  3570 | loss: -0.0016 | ds_loss: -0.0559 | lr: 8.0883e-05 | scale:  2048.0000 | micro time: 0.716 | step time: 1.271
train | epoch   1 | Iter:   2078/  7140 | global iter:   1040/  3570 | loss: 0.0235 | ds_loss: -0.0328 | lr: 8.0536e-05 | scale:  2048.0000 | micro time: 0.737 | step time: 1.271
train | epoch   1 | Iter:   2098/  7140 | global iter:   1050/  3570 | loss: -0.0226 | ds_loss: -0.0748 | lr: 8.0187e-05 | scale:  2048.0000 | micro time: 0.699 | step time: 1.258
train | epoch   1 | Iter:   2118/  7140 | global iter:   1060/  3570 | loss: 0.0056 | ds_loss: -0.0486 | lr: 7.9835e-05 | scale:  2048.0000 | micro time: 0.747 | step time: 1.246
train | epoch   1 | Iter:   2138/  7140 | global iter:   1070/  3570 | loss: 0.0223 | ds_loss: -0.0322 | lr: 7.9481e-05 | scale:  2048.0000 | micro time: 0.691 | step time: 1.242
train | epoch   1 | Iter:   2158/  7140 | global iter:   1080/  3570 | loss: -0.0290 | ds_loss: -0.0830 | lr: 7.9125e-05 | scale:  2048.0000 | micro time: 0.689 | step time: 1.255
train | epoch   1 | Iter:   2178/  7140 | global iter:   1090/  3570 | loss: 0.0365 | ds_loss: -0.0171 | lr: 7.8766e-05 | scale:  2048.0000 | micro time: 0.699 | step time: 1.246
train | epoch   1 | Iter:   2198/  7140 | global iter:   1100/  3570 | loss: -0.0257 | ds_loss: -0.0799 | lr: 7.8405e-05 | scale:  2048.0000 | micro time: 0.695 | step time: 1.254
train | epoch   1 | Iter:   2218/  7140 | global iter:   1110/  3570 | loss: 0.0181 | ds_loss: -0.0348 | lr: 7.8042e-05 | scale:  2048.0000 | micro time: 0.718 | step time: 1.253
train | epoch   1 | Iter:   2238/  7140 | global iter:   1120/  3570 | loss: 0.0394 | ds_loss: -0.0157 | lr: 7.7677e-05 | scale:  2048.0000 | micro time: 0.705 | step time: 1.258
train | epoch   1 | Iter:   2258/  7140 | global iter:   1130/  3570 | loss: 0.0138 | ds_loss: -0.0430 | lr: 7.7310e-05 | scale:  2048.0000 | micro time: 0.707 | step time: 1.263
train | epoch   1 | Iter:   2278/  7140 | global iter:   1140/  3570 | loss: -0.0177 | ds_loss: -0.0729 | lr: 7.6941e-05 | scale:  2048.0000 | micro time: 0.732 | step time: 1.256
train | epoch   1 | Iter:   2298/  7140 | global iter:   1150/  3570 | loss: -0.0113 | ds_loss: -0.0656 | lr: 7.6569e-05 | scale:  2048.0000 | micro time: 0.732 | step time: 1.256
train | epoch   1 | Iter:   2318/  7140 | global iter:   1160/  3570 | loss: 0.0337 | ds_loss: -0.0201 | lr: 7.6196e-05 | scale:  2048.0000 | micro time: 0.699 | step time: 1.244
train | epoch   1 | Iter:   2338/  7140 | global iter:   1170/  3570 | loss: 0.0144 | ds_loss: -0.0423 | lr: 7.5820e-05 | scale:  2048.0000 | micro time: 0.731 | step time: 1.269
train | epoch   1 | Iter:   2358/  7140 | global iter:   1180/  3570 | loss: 0.0180 | ds_loss: -0.0364 | lr: 7.5443e-05 | scale:  2048.0000 | micro time: 0.699 | step time: 1.274
train | epoch   1 | Iter:   2378/  7140 | global iter:   1190/  3570 | loss: -0.0003 | ds_loss: -0.0570 | lr: 7.5063e-05 | scale:  2048.0000 | micro time: 0.705 | step time: 1.253
train | epoch   1 | Iter:   2398/  7140 | global iter:   1200/  3570 | loss: 0.0050 | ds_loss: -0.0492 | lr: 7.4682e-05 | scale:  2048.0000 | micro time: 0.699 | step time: 1.261
train | epoch   1 | Iter:   2418/  7140 | global iter:   1210/  3570 | loss: 0.0310 | ds_loss: -0.0257 | lr: 7.4298e-05 | scale:  2048.0000 | micro time: 0.710 | step time: 1.255
train | epoch   1 | Iter:   2438/  7140 | global iter:   1220/  3570 | loss: 0.0199 | ds_loss: -0.0351 | lr: 7.3913e-05 | scale:  2048.0000 | micro time: 0.707 | step time: 1.247
train | epoch   1 | Iter:   2458/  7140 | global iter:   1230/  3570 | loss: 0.0291 | ds_loss: -0.0258 | lr: 7.3526e-05 | scale:  2048.0000 | micro time: 0.705 | step time: 1.238
train | epoch   1 | Iter:   2478/  7140 | global iter:   1240/  3570 | loss: 0.0249 | ds_loss: -0.0280 | lr: 7.3137e-05 | scale:  2048.0000 | micro time: 0.708 | step time: 1.246
train | epoch   1 | Iter:   2498/  7140 | global iter:   1250/  3570 | loss: 0.0156 | ds_loss: -0.0377 | lr: 7.2746e-05 | scale:  2048.0000 | micro time: 0.708 | step time: 1.244
train | epoch   1 | Iter:   2518/  7140 | global iter:   1260/  3570 | loss: 0.0213 | ds_loss: -0.0332 | lr: 7.2354e-05 | scale:  2048.0000 | micro time: 0.713 | step time: 1.257
train | epoch   1 | Iter:   2538/  7140 | global iter:   1270/  3570 | loss: 0.0425 | ds_loss: -0.0101 | lr: 7.1960e-05 | scale:  2048.0000 | micro time: 0.717 | step time: 1.246
train | epoch   1 | Iter:   2558/  7140 | global iter:   1280/  3570 | loss: -0.0388 | ds_loss: -0.0939 | lr: 7.1564e-05 | scale:  2048.0000 | micro time: 0.690 | step time: 1.245
train | epoch   1 | Iter:   2578/  7140 | global iter:   1290/  3570 | loss: 0.0161 | ds_loss: -0.0364 | lr: 7.1166e-05 | scale:  2048.0000 | micro time: 0.744 | step time: 1.244
train | epoch   1 | Iter:   2598/  7140 | global iter:   1300/  3570 | loss: -0.0137 | ds_loss: -0.0667 | lr: 7.0767e-05 | scale:  2048.0000 | micro time: 0.697 | step time: 1.254
train | epoch   1 | Iter:   2618/  7140 | global iter:   1310/  3570 | loss: 0.0431 | ds_loss: -0.0117 | lr: 7.0366e-05 | scale:  2048.0000 | micro time: 0.733 | step time: 1.260
train | epoch   1 | Iter:   2638/  7140 | global iter:   1320/  3570 | loss: -0.0076 | ds_loss: -0.0613 | lr: 6.9964e-05 | scale:  2048.0000 | micro time: 0.722 | step time: 1.252
train | epoch   1 | Iter:   2658/  7140 | global iter:   1330/  3570 | loss: -0.0111 | ds_loss: -0.0649 | lr: 6.9560e-05 | scale:  2048.0000 | micro time: 0.739 | step time: 1.257
train | epoch   1 | Iter:   2678/  7140 | global iter:   1340/  3570 | loss: 0.0625 | ds_loss: 0.0097 | lr: 6.9155e-05 | scale:  2048.0000 | micro time: 0.725 | step time: 1.241
train | epoch   1 | Iter:   2698/  7140 | global iter:   1350/  3570 | loss: 0.0262 | ds_loss: -0.0283 | lr: 6.8748e-05 | scale:  2048.0000 | micro time: 0.684 | step time: 1.246
train | epoch   1 | Iter:   2718/  7140 | global iter:   1360/  3570 | loss: -0.0137 | ds_loss: -0.0669 | lr: 6.8340e-05 | scale:  2048.0000 | micro time: 0.709 | step time: 1.250
