

============================== EXP at 2026-04-30 13:36:45 ==============================


============================== EXP at 2026-04-30 13:37:33 ==============================


============================== EXP at 2026-04-30 13:39:34 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   1 | Iter:   1458/  7140 | global iter:    730/  3570 | loss: -0.2274 | ds_loss: -0.2898 | lr: 4.5031e-04 | scale:  2048.0000 | micro time: 0.707 | step time: 1.416
train | epoch   1 | Iter:   1478/  7140 | global iter:    740/  3570 | loss: -0.2542 | ds_loss: -0.3193 | lr: 4.4898e-04 | scale:  2048.0000 | micro time: 0.696 | step time: 1.418
train | epoch   1 | Iter:   1498/  7140 | global iter:    750/  3570 | loss: -0.2818 | ds_loss: -0.3496 | lr: 4.4764e-04 | scale:  2048.0000 | micro time: 0.736 | step time: 1.421
train | epoch   1 | Iter:   1518/  7140 | global iter:    760/  3570 | loss: -0.2694 | ds_loss: -0.3304 | lr: 4.4629e-04 | scale:  2048.0000 | micro time: 0.714 | step time: 1.395
train | epoch   1 | Iter:   1538/  7140 | global iter:    770/  3570 | loss: -0.3259 | ds_loss: -0.3905 | lr: 4.4492e-04 | scale:  2048.0000 | micro time: 0.692 | step time: 1.407
train | epoch   1 | Iter:   1558/  7140 | global iter:    780/  3570 | loss: -0.3265 | ds_loss: -0.3906 | lr: 4.4353e-04 | scale:  2048.0000 | micro time: 0.713 | step time: 1.424
train | epoch   1 | Iter:   1578/  7140 | global iter:    790/  3570 | loss: -0.2512 | ds_loss: -0.3150 | lr: 4.4213e-04 | scale:  2048.0000 | micro time: 0.691 | step time: 1.413
train | epoch   1 | Iter:   1598/  7140 | global iter:    800/  3570 | loss: -0.2796 | ds_loss: -0.3444 | lr: 4.4072e-04 | scale:  2048.0000 | micro time: 0.700 | step time: 1.401
train | epoch   1 | Iter:   1618/  7140 | global iter:    810/  3570 | loss: -0.2592 | ds_loss: -0.3193 | lr: 4.3929e-04 | scale:  2048.0000 | micro time: 0.715 | step time: 1.399
train | epoch   1 | Iter:   1638/  7140 | global iter:    820/  3570 | loss: -0.3129 | ds_loss: -0.3783 | lr: 4.3785e-04 | scale:  2048.0000 | micro time: 0.918 | step time: 1.678
train | epoch   1 | Iter:   1658/  7140 | global iter:    830/  3570 | loss: -0.2602 | ds_loss: -0.3238 | lr: 4.3639e-04 | scale:  2048.0000 | micro time: 0.972 | step time: 1.887
train | epoch   1 | Iter:   1678/  7140 | global iter:    840/  3570 | loss: -0.2658 | ds_loss: -0.3269 | lr: 4.3491e-04 | scale:  2048.0000 | micro time: 0.974 | step time: 1.882
train | epoch   1 | Iter:   1698/  7140 | global iter:    850/  3570 | loss: -0.2803 | ds_loss: -0.3443 | lr: 4.3343e-04 | scale:  2048.0000 | micro time: 0.954 | step time: 1.915
train | epoch   1 | Iter:   1718/  7140 | global iter:    860/  3570 | loss: -0.2839 | ds_loss: -0.3499 | lr: 4.3192e-04 | scale:  2048.0000 | micro time: 1.006 | step time: 1.938
